@RELATION browserninja.website
@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@DATA
http://wwatana.be/mobile/topsites/www.sina.cn/,2629,A,0,3,"iOS 12.1 - Safari -- iOS - iPhone 8","null",null,null,2.0,-1.0,results/iphone8/2629.png,null,231,-1,17146,-1,28,-1,66,-1,0,-1,17143,-1,-1.0,-1.0,750,-1,375,-1,/body[2]/section[14]/aside[1]/nav[1]/a[4],/body[2]/section[14]/aside[1]/nav[1]/a[4],null,-1.0,160,-1,17146,-1,0,-1,17181,-1,1,-1,"Microsoft YaHei",null
http://wwatana.be/mobile/topsites/www.sina.cn/,2628,A,0,2,"iOS 12.1 - Safari -- iOS - iPhone 8","null",null,null,2.0,-1.0,results/iphone8/2628.png,null,160,-1,17146,-1,28,-1,51,-1,0,-1,17143,-1,-1.0,-1.0,750,-1,375,-1,/body[2]/section[14]/aside[1]/nav[1]/a[3],/body[2]/section[14]/aside[1]/nav[1]/a[3],null,-1.0,88,-1,17146,-1,231,-1,17146,-1,1,-1,"Microsoft YaHei",null
http://wwatana.be/mobile/topsites/www.sina.cn/,2627,A,0,2,"iOS 12.1 - Safari -- iOS - iPhone 8","null",null,null,2.0,-1.0,results/iphone8/2627.png,null,88,-1,17146,-1,28,-1,51,-1,0,-1,17143,-1,-1.0,-1.0,750,-1,375,-1,/body[2]/section[14]/aside[1]/nav[1]/a[2],/body[2]/section[14]/aside[1]/nav[1]/a[2],null,-1.0,10,-1,17156,-1,160,-1,17146,-1,1,-1,"Microsoft YaHei",null
http://wwatana.be/mobile/topsites/www.sina.cn/,2626,A,0,2,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,results/iphone8/2626.png,results/motog4/2849.png,10,9,17156,13,12,10,58,55,0,0,17143,0,110334.0,696.0,750,1080,375,360,/body[2]/section[14]/aside[1]/nav[1]/a[1],/body[2]/section[14]/aside[1]/nav[1]/a[1],/body[2]/section[14]/aside[1]/nav[1]/a[1],0.9,0,0,0,0,88,0,17146,36,1,1,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2625,NAV,5,565,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,0,0,17143,0,40,38,375,360,0,0,17143,0,0.0,0.0,750,1080,375,360,/body[2]/section[14]/aside[1]/nav[1],/body[2]/section[14]/aside[1]/nav[1],/body[2]/section[14]/aside[1]/nav[1],0.0,0,0,0,0,0,0,0,0,0,0,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2624,ASIDE,6,622,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,0,0,17143,0,40,38,375,360,0,0,17143,0,0.0,0.0,750,1080,375,360,/body[2]/section[14]/aside[1],/body[2]/section[14]/aside[1],/body[2]/section[14]/aside[1],0.0,0,0,0,0,0,0,0,0,0,0,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2623,SECTION,7,656,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,0,0,17143,0,40,38,375,360,0,0,0,0,0.0,0.0,750,1080,375,360,/body[2]/section[14],/body[2]/section[14],/body[2]/section[14],0.0,0,0,0,0,0,0,0,0,0,0,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2567,SECTION,5,838,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,0,0,20,20,20,20,768,768,0,0,20,20,0.0,0.0,750,1080,375,360,/body[2]/section[4]/section[1],/body[2]/section[4]/section[1],/body[2]/section[4]/section[1],0.0,0,0,20,20,0,0,0,0,0,0,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2560,SECTION,5,838,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,0,0,20,20,20,20,768,768,0,0,20,20,0.0,0.0,750,1080,375,360,/body[2]/section[3]/section[1],/body[2]/section[3]/section[1],/body[2]/section[3]/section[1],0.0,0,0,0,0,0,0,20,20,0,0,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2550,P,0,43,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,45,43,18836,19807,13,12,285,273,0,0,18741,19717,0.0,0.0,750,1080,375,360,/body[2]/main[2]/footer[13]/address[2]/p[4],/body[2]/main[2]/footer[13]/address[2]/p[4],/body[2]/main[2]/footer[13]/address[2]/p[4],0.0,45,43,18819,19791,0,0,0,0,1,1,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2549,A,0,11,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,120,116,18818,19790,15,14,135,126,45,43,18819,19791,0.0,0.0,750,1080,375,360,/body[2]/main[2]/footer[13]/address[2]/p[3]/a[1],/body[2]/main[2]/footer[13]/address[2]/p[3]/a[1],/body[2]/main[2]/footer[13]/address[2]/p[3]/a[1],0.0,45,43,18804,19777,45,43,18836,19807,1,1,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2548,P,1,95,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,45,43,18819,19791,13,12,285,273,0,0,18741,19717,0.0,0.0,750,1080,375,360,/body[2]/main[2]/footer[13]/address[2]/p[3],/body[2]/main[2]/footer[13]/address[2]/p[3],/body[2]/main[2]/footer[13]/address[2]/p[3],0.0,45,43,18804,19777,45,43,18836,19807,0,0,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2547,P,0,27,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,45,43,18804,19777,13,12,285,273,0,0,18741,19717,0.0,0.0,750,1080,375,360,/body[2]/main[2]/footer[13]/address[2]/p[2],/body[2]/main[2]/footer[13]/address[2]/p[2],/body[2]/main[2]/footer[13]/address[2]/p[2],0.0,45,43,18764,19738,45,43,18819,19791,1,1,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2546,A,0,2,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,266,253,18762,19737,21,19,56,50,45,43,18764,19738,0.0,0.0,750,1080,375,360,/body[2]/main[2]/footer[13]/address[2]/nav[1]/a[4],/body[2]/main[2]/footer[13]/address[2]/nav[1]/a[4],/body[2]/main[2]/footer[13]/address[2]/nav[1]/a[4],0.0,170,163,18762,19737,45,43,18804,19777,1,1,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2545,A,0,5,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,170,163,18762,19737,21,19,107,98,45,43,18764,19738,0.0,0.0,750,1080,375,360,/body[2]/main[2]/footer[13]/address[2]/nav[1]/a[3],/body[2]/main[2]/footer[13]/address[2]/nav[1]/a[3],/body[2]/main[2]/footer[13]/address[2]/nav[1]/a[3],0.0,125,123,18762,19737,266,253,18762,19737,1,1,"Microsoft YaHei","Microsoft YaHei"
http://wwatana.be/mobile/topsites/www.sina.cn/,2544,A,0,2,"iOS 12.1 - Safari -- iOS - iPhone 8","Android null - Chrome -- Android - MotoG4",null,null,2.0,3.0,null,null,125,123,18762,19737,21,19,56,50,45,43,18764,19738,0.0,0.0,750,1080,375,360,/body[2]/main[2]/footer[13]/address[2]/nav[1]/a[2],/body[2]/main[2]/footer[13]/address[2]/nav[1]/a[2],/body[2]/main[2]/footer[13]/address[2]/nav[1]/a[2],0.0,63,66,18762,19737,170,163,18762,19737,1,1,"Microsoft YaHei","Microsoft YaHei"
